STD_YM,gID,dup_fac_cnt,fac_name_1,fac_func_1,fac_name_2,fac_func_2,fac_name_3,fac_func_3,fac_name_4,fac_func_4,fac_name_5,fac_func_5,fac_name_6,fac_func_6,fac_name_7,fac_func_7,fac_name_8,fac_func_8,fac_name_9,fac_func_9,fac_name_10,fac_func_10,fac_name_11,fac_func_11,fac_name_12,fac_func_12,fac_name_13,fac_func_13,fac_name_14,fac_func_14,fac_name_15,fac_func_15,fac_name_16,fac_func_16,fac_name_17,fac_func_17,dup_fac_pop
202512,마라375859,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202512,마라375860,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202512,마라375873,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202512,마라375874,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202512,마라375875,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202512,마라376858,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202512,마라376859,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202512,마라376860,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202512,마라376861,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202512,마라376862,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202512,마라376863,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202512,마라376864,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202512,마라376870,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202512,마라376871,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202512,마라376872,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202512,마라376873,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202512,마라376874,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202512,마라376875,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202512,마라376876,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202512,마라377857,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202512,마라377858,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202512,마라377859,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202512,마라377860,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
